./res/out_9bus_2.out
IEEE 9 BUS CASE - 3G - 3L
                     1              4       
        Time(s) VOLT 1 [BUS1 1 ANGL 2 [BUS2 1
                        6.500]         8.000]
        9.47012        1.03785        623.113
        9.48012        1.03786        623.393
        9.49012        1.03787        623.671
        9.50012        1.03788        623.947
        9.51012        1.03789        624.221
        9.52012         1.0379        624.493
        9.53012        1.03791        624.763
        9.54012        1.03793        625.032
        9.55012        1.03794        625.299
        9.56012        1.03796        625.564
        9.57012        1.03798        625.829
        9.58012        1.03799        626.092
        9.59012        1.03801        626.354
        9.60012        1.03803        626.615
        9.61012        1.03805        626.875
        9.62012        1.03807        627.134
        9.63013        1.03808        627.393
        9.64013         1.0381        627.652
        9.65013        1.03812        627.911
        9.66013        1.03814        628.169
        9.67013        1.03815        628.428
        9.68013        1.03817        628.687
        9.69013        1.03819        628.946
        9.70013         1.0382        629.205
        9.71013        1.03822        629.465
        9.72013        1.03823        629.726
        9.73013        1.03824        629.987
        9.74013        1.03825        630.249
        9.75013        1.03826        630.512
        9.76013        1.03827        630.776
        9.77013        1.03828        631.042
        9.78013        1.03829        631.308
        9.79013        1.03829        631.576
        9.80013         1.0383        631.844
        9.81013         1.0383        632.115
        9.82013         1.0383        632.386
        9.83013         1.0383        632.659
        9.84013         1.0383        632.933
        9.85013         1.0383        633.208
        9.86013         1.0383        633.485
        9.87013        1.03829        633.763
        9.88013        1.03829        634.042
        9.89013        1.03828        634.323
        9.90013        1.03827        634.605
        9.91013        1.03827        634.888
        9.92013        1.03826        635.172
        9.93013        1.03824        635.458
        9.94013        1.03823        635.744
        9.95013        1.03822        636.031
        9.96013        1.03821        636.319
        9.97013        1.03819        636.608
        9.98013        1.03818        636.897
        9.99013        1.03816        637.187
        10.0001        1.03814        637.477
